Feature ID,Topic,Acquired At,Stagnates At,Description,step_num
2132,Probability and Sampling Problems,pythia-6_9b-step256,pythia-6_9b-step1000,All instances refer to probability problems involving sampling without replacement from a collection of letters.,1000
2987,Probability and Sampling Problems,pythia-6_9b-step256,pythia-6_9b-step1000,Mathematical probability problems involving sampling without replacement from sets of letters or objects.,1000
2295,Dialogue and Speech Attribution,pythia-6_9b-step64,pythia-6_9b-step1000,All instances represent dialogue formatting where a space appears immediately after closing quotation marks in screenplay or script text.,1000
447,Dialogue and Speech Attribution,pythia-6_9b-step64,pythia-6_9b-step1000,All instances represent a space character token that appears between quoted dialogue segments in what appears to be a script or transcript.,1000
283,Dialogue and Speech Attribution,pythia-6_9b-step64,pythia-6_9b-step1000,Quotation marks or similar punctuation that begin direct speech or dialogue in written text.,1000
1262,Academic Abbreviations and Examples,pythia-6_9b-step512,pythia-6_9b-step1000,"Abbreviations used to introduce examples or clarifications in academic and technical writing (e.g. for ""exempli gratia"" meaning ""for example"" and i.e. for ""id est"" meaning ""that is"").",1000
1855,Mathematical Questions and Queries,pythia-6_9b-step1000,pythia-6_9b-step1000,"Words appearing as question starters in mathematical problem contexts, specifically the word ""What"" beginning mathematical questions.",1000
664,Spatial and Relational Prepositions,pythia-6_9b-step128,pythia-6_9b-step1000,"Instances of the preposition ""to"" appearing after a space in technical and formal writing contexts.",1000
187,Probability and Sampling Problems,pythia-6_9b-step256,pythia-6_9b-step1000,"All instances of the word ""picked"" appear in mathematical probability problems involving drawing letters without replacement from sets or strings.",1000
1489,Mathematical Comparisons and Rankings,pythia-6_9b-step256,pythia-6_9b-step1000,"All instances show the word ""of"" appearing in mathematical contexts asking for greatest common divisors, highest common factors, or prime factors of numbers or variables.",1000
1446,Mathematical Questions and Queries,pythia-6_9b-step128,pythia-6_9b-step1000,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by various mathematical operations including calculations, rounding, and function evaluations.",1000
1738,Exclusion and Absence Terms,pythia-6_9b-step256,pythia-6_9b-step1000,"All instances show the preposition ""without"" used to indicate absence, lack, or exclusion in various contexts.",1000
942,Technical Documentation Formatting,pythia-6_9b-step1000,pythia-6_9b-step1000,"Spaces that appear before ""p"" in time notations, specifically in sports schedule listings where ""p"" indicates ""p.m.""",1000
846,HTML and XML Markup,pythia-6_9b-step64,pythia-6_9b-step1000,HTML attribute values for reference links in academic figure citations.,1000
2286,Comparative Conjunctions and Relations,pythia-6_9b-step512,pythia-6_9b-step1000,"All instances show the word ""as"" functioning as a conjunction in comparative or additive constructions, typically in phrases like ""as well as"" or ""such as"" that introduce additional examples or elements.",1000
1653,Mathematical Questions and Queries,pythia-6_9b-step512,pythia-6_9b-step1000,"The word ""Is"" appearing at the beginning of mathematical questions asking about numerical properties, comparisons, or classifications.",1000
1740,Mathematical Comparisons and Rankings,pythia-6_9b-step256,pythia-6_9b-step1000,"Mathematical exponent indicators (specifically the number ""2"") appearing in polynomial expressions and calculus problems.",1000
2722,Academic Abbreviations and Examples,pythia-6_9b-step128,pythia-6_9b-step1000,"Citation reference markers in academic text, specifically the letter ""B"" appearing in bibliographic citations.",1000
1206,URL and Web Formatting,pythia-6_9b-step64,pythia-6_9b-step1000,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",1000
764,Programming Syntax and Code Structure,pythia-6_9b-step128,pythia-6_9b-step1000,Colons separating Android XML attribute names from their values in layout files.,1000
864,URL and Web Formatting,pythia-6_9b-step128,pythia-6_9b-step1000,URL protocol separators appearing in web links and references.,1000
583,Technical Documentation Formatting,pythia-6_9b-step512,pythia-6_9b-step1000,Colons used as separators in time expressions (hours and minutes).,1000
1978,Academic Abbreviations and Examples,pythia-6_9b-step256,pythia-6_9b-step1000,"Citation reference markers in academic text, specifically indicating bibliographic references numbered in square brackets.",1000
567,Statistical and Scientific Notation,pythia-6_9b-step64,pythia-6_9b-step1000,Decimal points appearing in statistical output data with numerical values and column formatting.,1000
2788,HTML and XML Markup,pythia-6_9b-step1000,pythia-6_9b-step1000,HTML shape attributes and table cell tags used in web markup and image maps.,1000
1108,URL and Web Formatting,pythia-6_9b-step128,pythia-6_9b-step1000,URL protocol indicators (://) appearing in web addresses and hyperlinks.,1000
535,Reference Numbers and Citations,pythia-6_9b-step256,pythia-6_9b-step1000,Single letters (B/b) used as reference markers or labels in academic and scientific texts.,1000
2876,HTML and XML Markup,pythia-6_9b-step1000,pythia-6_9b-step1000,HTML closing div tags appearing in code or markup contexts.,1000
2726,File Extensions and Technical References,pythia-6_9b-step1000,pythia-6_9b-step1000,File extensions for HTML documents appearing in documentation links and file references.,1000
546,Possessive Markers and Ownership,pythia-6_9b-step128,pythia-6_9b-step1000,Possessive markers appearing after proper nouns and common nouns to indicate ownership or association.,1000
1722,HTML and XML Markup,pythia-6_9b-step128,pythia-6_9b-step1000,Opening angle brackets used in XML/HTML markup syntax.,1000
770,Academic Abbreviations and Examples,pythia-6_9b-step256,pythia-6_9b-step1000,Punctuation sequences (period followed by comma) appearing in academic citations and references within scientific text.,1000
1153,Geographic and Location References,pythia-6_9b-step512,pythia-6_9b-step1000,"Abbreviations for ""United States"" appearing in formal or official contexts.",1000
2702,Academic Abbreviations and Examples,pythia-6_9b-step128,pythia-6_9b-step1000,"Academic citation abbreviation ""et al."" used to indicate additional authors in scholarly references.",1000
2523,Academic Abbreviations and Examples,pythia-6_9b-step512,pythia-6_9b-step1000,"Reference markers for figures and sections in academic documents, typically used in citation and cross-referencing systems.",1000
1693,Mathematical Comparisons and Rankings,pythia-6_9b-step1000,pythia-6_9b-step1000,Words used in mathematical comparison questions asking which value is closest or nearest to a target number.,1000
923,Code Comments and Documentation,pythia-6_9b-step512,pythia-6_9b-step1000,Spaces that appear before the @ symbol in academic citation lists and code documentation comments.,1000
1344,HTML and XML Markup,pythia-6_9b-step64,pythia-6_9b-step1000,HTML/XML attribute values specifying reference types in academic document markup.,1000
1792,Mathematical Comparisons and Rankings,pythia-6_9b-step512,pythia-6_9b-step1000,"Mathematical expressions containing function evaluations with negative integer arguments, appearing as fragments from algebraic problem solving contexts.",1000
1752,Categorization and Classification Systems,pythia-6_9b-step256,pythia-6_9b-step1000,"Wikipedia category labels that classify articles by topic, profession, location, or other descriptive attributes.",1000
1918,Academic Citations and References,pythia-6_9b-step64,pythia-6_9b-step1000,"Periods appearing in legal case citations, typically separating case names from volume and page references.",1000
1806,URL and Web Formatting,pythia-6_9b-step128,pythia-6_9b-step1000,"Periods that appear as part of website URLs in the format ""www.domain.com""",1000
411,General Reference Terms and Entities,pythia-6_9b-step1000,pythia-6_9b-step1000,"Words appearing after ""No"" in formal document references, citations, and numbering systems.",1000
