split,pair_id,correct_sentence,correct_doc_id,correct_input_file,correct_output_file,correct_metric,correct_num_tokens,best_wrong_metric,num_wrong_options,wrong_metrics
abstract_algebra_test,0,"Question: Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_0_B,longformer-3000_3499.parquet,pythia-6_9b-3000_3999.parquet,-97.04625701904297,48,-96.50719451904297,3,"[-97.0220718383789, -96.50719451904297, -97.27281951904297]"
abstract_algebra_test,1,"Question: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120

Answer: C",abstract_algebra_test_correct_1_C,longformer-1500_1999.parquet,pythia-6_9b-1000_1999.parquet,-116.76627349853516,56,-116.75596618652344,3,"[-116.92002868652344, -116.75596618652344, -117.52921295166016]"
abstract_algebra_test,2,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5
A. 0
B. 1
C. 0,1
D. 0,4

Answer: D",abstract_algebra_test_correct_2_D,longformer-11500_11999.parquet,pythia-6_9b-11000_11999.parquet,-133.07443237304688,64,-132.47286987304688,3,"[-132.87130737304688, -132.55099487304688, -132.47286987304688]"
abstract_algebra_test,3,"Question: Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: B",abstract_algebra_test_correct_3_B,longformer-24500_24999.parquet,pythia-6_9b-24000_24999.parquet,-118.50890350341797,77,-118.40734100341797,3,"[-118.64171600341797, -118.49327850341797, -118.40734100341797]"
abstract_algebra_test,4,"Question: Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].
A. 2x^2 + 5
B. 6x^2 + 4x + 6
C. 0
D. x^2 + 1

Answer: B",abstract_algebra_test_correct_4_B,longformer-13000_13499.parquet,pythia-6_9b-13000_13999.parquet,-141.16793823242188,84,-140.99606323242188,3,"[-141.32418823242188, -140.99606323242188, -141.49606323242188]"
abstract_algebra_test,5,"Question: Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_5_A,longformer-28500_28999.parquet,pythia-6_9b-28000_28999.parquet,-126.95950317382812,80,-126.89700317382812,3,"[-127.20950317382812, -126.90481567382812, -126.89700317382812]"
abstract_algebra_test,6,"Question: Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_6_A,longformer-27000_27499.parquet,pythia-6_9b-27000_27999.parquet,-126.11735534667969,75,-125.90641784667969,3,"[-125.95329284667969, -125.90641784667969, -126.00016784667969]"
abstract_algebra_test,7,"Question: Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: D",abstract_algebra_test_correct_7_D,longformer-15500_15999.parquet,pythia-6_9b-15000_15999.parquet,-122.7818832397461,61,-122.6021957397461,3,"[-122.6021957397461, -122.8443832397461, -122.7506332397461]"
abstract_algebra_test,8,"Question: Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_8_B,longformer-2000_2499.parquet,pythia-6_9b-2000_2999.parquet,-84.70449829101562,45,-84.26699829101562,3,"[-84.75918579101562, -84.26699829101562, -84.87637329101562]"
abstract_algebra_test,9,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7
A. 1
B. 2
C. 2,3
D. 6

Answer: C",abstract_algebra_test_correct_9_C,longformer-9500_9999.parquet,pythia-6_9b-9000_9999.parquet,-121.54927062988281,55,-121.61958312988281,3,"[-121.61958312988281, -121.77583312988281, -122.64302062988281]"
