split,pair_id,correct_sentence,correct_doc_id,correct_input_file,correct_output_file,correct_metric,correct_num_tokens,best_wrong_metric,num_wrong_options,wrong_metrics
abstract_algebra_test,0,"Question: Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_0_B,longformer-3000_3499.parquet,pythia-6_9b-step16-3000_3999.parquet,-412.17425537109375,48,-412.31585693359375,3,"[-414.46429443359375, -413.53045654296875, -412.31585693359375]"
abstract_algebra_test,1,"Question: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120

Answer: C",abstract_algebra_test_correct_1_C,longformer-1500_1999.parquet,pythia-6_9b-step16-1000_1999.parquet,-449.91156005859375,56,-448.26751708984375,3,"[-451.1097412109375, -448.26751708984375, -449.56536865234375]"
abstract_algebra_test,2,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5
A. 0
B. 1
C. 0,1
D. 0,4

Answer: D",abstract_algebra_test_correct_2_D,longformer-11500_11999.parquet,pythia-6_9b-step16-11000_11999.parquet,-536.555419921875,64,-536.355224609375,3,"[-538.377685546875, -536.355224609375, -537.474609375]"
abstract_algebra_test,3,"Question: Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: B",abstract_algebra_test_correct_3_B,longformer-24500_24999.parquet,pythia-6_9b-step16-25000_25999.parquet,-661.8189697265625,77,-663.0357666015625,3,"[-664.5831298828125, -663.9188232421875, -663.0357666015625]"
abstract_algebra_test,4,"Question: Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].
A. 2x^2 + 5
B. 6x^2 + 4x + 6
C. 0
D. x^2 + 1

Answer: B",abstract_algebra_test_correct_4_B,longformer-13000_13499.parquet,pythia-6_9b-step16-13000_13999.parquet,-772.4561157226562,84,-772.7754516601562,3,"[-774.4295043945312, -774.2134399414062, -772.7754516601562]"
abstract_algebra_test,5,"Question: Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_5_A,longformer-28500_28999.parquet,pythia-6_9b-step16-28000_28999.parquet,-714.6279296875,80,-712.1473388671875,3,"[-712.1473388671875, -714.3433227539062, -713.3387451171875]"
abstract_algebra_test,6,"Question: Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_6_A,longformer-27000_27499.parquet,pythia-6_9b-step16-27000_27999.parquet,-654.3202514648438,75,-651.5006713867188,3,"[-651.5006713867188, -653.8299560546875, -652.9010620117188]"
abstract_algebra_test,7,"Question: Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: D",abstract_algebra_test_correct_7_D,longformer-15500_15999.parquet,pythia-6_9b-step16-15000_15999.parquet,-515.8485717773438,61,-514.6430053710938,3,"[-516.7135009765625, -514.6430053710938, -516.1259155273438]"
abstract_algebra_test,8,"Question: Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_8_B,longformer-2000_2499.parquet,pythia-6_9b-step16-2000_2999.parquet,-377.1905212402344,45,-377.3926696777344,3,"[-379.5132751464844, -378.1558532714844, -377.3926696777344]"
abstract_algebra_test,9,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7
A. 1
B. 2
C. 2,3
D. 6

Answer: C",abstract_algebra_test_correct_9_C,longformer-9500_9999.parquet,pythia-6_9b-step16-9000_9999.parquet,-456.0626525878906,55,-455.1307678222656,3,"[-456.9286193847656, -455.1307678222656, -455.2352600097656]"
abstract_algebra_test,10,"Question: Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: C",abstract_algebra_test_correct_10_C,longformer-25000_25499.parquet,pythia-6_9b-step16-24000_24999.parquet,-712.7592163085938,81,-710.6600952148438,3,"[-713.6078491210938, -710.6600952148438, -712.3710327148438]"
abstract_algebra_test,11,"Question: If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is
A. symmetric only
B. anti-symmetric only
C. both symmetric and anti-symmetric
D. an equivalence relation

Answer: C",abstract_algebra_test_correct_11_C,longformer-12000_12499.parquet,pythia-6_9b-step16-12000_12999.parquet,-504.48114013671875,59,-502.98260498046875,3,"[-505.31744384765625, -502.98260498046875, -503.83905029296875]"
abstract_algebra_test,12,"Question: Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)
A. 1
B. 2
C. 5
D. 11

Answer: A",abstract_algebra_test_correct_12_A,longformer-500_999.parquet,pythia-6_9b-step16-0_999.parquet,-367.7514953613281,43,-365.4294738769531,3,"[-365.4294738769531, -366.8357238769531, -365.9724426269531]"
abstract_algebra_test,13,"Question: The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.
A. (x − 2)(x + 2)(x − 1)
B. (x + 1)(x + 4)(x − 2)
C. (x + 1)(x − 4)(x − 2)
D. (x - 1)(x − 4)(x − 2)

Answer: C",abstract_algebra_test_correct_13_C,longformer-20000_20499.parquet,pythia-6_9b-step16-20000_20999.parquet,-1035.5692138671875,103,-1033.37841796875,3,"[-1036.101318359375, -1033.37841796875, -1034.49658203125]"
abstract_algebra_test,14,"Question: Find the maximum possible order for an element of S_n for n = 10.
A. 6
B. 12
C. 30
D. 105

Answer: C",abstract_algebra_test_correct_14_C,longformer-1500_1999.parquet,pythia-6_9b-step16-1000_1999.parquet,-317.1785888671875,40,-315.9461669921875,3,"[-318.4080810546875, -315.9461669921875, -316.7415771484375]"
abstract_algebra_test,15,"Question: Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: B",abstract_algebra_test_correct_15_B,longformer-14500_14999.parquet,pythia-6_9b-step16-14000_14999.parquet,-465.8988952636719,56,-467.5805358886719,3,"[-468.6361999511719, -467.7787780761719, -467.5805358886719]"
abstract_algebra_test,16,"Question: The inverse of -i in the multiplicative group, {1, -1, i , -i} is
A. 1
B. -1
C. i
D. -i

Answer: C",abstract_algebra_test_correct_16_C,longformer-1500_1999.parquet,pythia-6_9b-step16-1000_1999.parquet,-362.3800048828125,47,-360.7196044921875,3,"[-363.3758544921875, -360.7196044921875, -361.7420654296875]"
abstract_algebra_test,17,"Question: Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9
A. (1,1)
B. (3,1)
C. (1,6)
D. (3,6)

Answer: C",abstract_algebra_test_correct_17_C,longformer-2500_2999.parquet,pythia-6_9b-step16-2000_2999.parquet,-492.6039733886719,64,-491.3998718261719,3,"[-493.7211608886719, -491.4057312011719, -491.3998718261719]"
abstract_algebra_test,18,"Question: The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation
B. multiplication is not associative
C. identity element does not exist
D. zero has no inverse

Answer: D",abstract_algebra_test_correct_18_D,longformer-23500_23999.parquet,pythia-6_9b-step16-23000_23999.parquet,-471.6875915527344,54,-470.5889587402344,3,"[-473.2508239746094, -470.5889587402344, -471.6934509277344]"
