feature_group_id,representative_feature_id,description,n_members,max_prob,final_prob,gap_to_threshold,all_feature_ids
1,892,"Auxiliary verbs ""have"" and ""has"" used in modal and conditional constructions to express hypothetical situations, past possibilities, or completed actions.",1,0.489640389,0.42779373,0.01035961099999999,892
2,3490,"All instances show the preposition ""from"" indicating source, origin, or starting point in various contexts.",1,0.484497137,0.413674241,0.015502862999999978,3490
3,242,Web addresses or URL components appearing in various contexts across different websites and domains.,1,0.48165613,0.420247788,0.018343869999999984,242
4,5211,Physical measurement terms and scientific parameters used in quantitative analysis and research contexts.,1,0.465953445,0.395574429,0.03404655499999998,5211
5,3435,"Words referring to specific conditions, contexts, or scenarios in which something occurs or applies.",1,0.464799532,0.399240257,0.035200467999999985,3435
6,5091,"Words referring to methods, approaches, or solutions for accomplishing tasks or solving problems.",1,0.462516937,0.375146211,0.03748306299999998,5091
7,6027,"Instances of the word ""then"" used as a conditional conjunction following ""if"" statements or conditional clauses in programming code, mathematical proofs, and logical reasoning contexts.",1,0.457890875,0.457890875,0.042109125000000025,6027
8,4396,"All instances are the indefinite article ""a"" preceded by a space in various sentence contexts.",1,0.455176707,0.455176707,0.044823292999999986,4396
9,2934,"Words indicating agency, method, or means by which an action is performed or accomplished.",1,0.455083503,0.409506239,0.044916497,2934
10,5474,"Words related to duration or temporal measurement, all preceded by a space in the context.",1,0.449413262,0.449413262,0.05058673800000002,5474
11,2526,Present participle verbs functioning as predicates in progressive constructions or as complements in various grammatical structures,1,0.447485053,0.408018901,0.05251494699999998,2526
12,2478,Words referring to computer files or file-related concepts in programming and technical contexts.,1,0.446837213,0.398089796,0.05316278699999999,2478
13,2542,"Modal auxiliary verbs and nouns expressing possibility, ability, or methods of doing something.",1,0.445849901,0.397552061,0.05415009900000001,2542
14,4995,Database and programming terms with emphasis on tables and system components,1,0.440045478,0.371930251,0.05995452200000001,4995
15,3055,Subordinating conjunctions and complementizers that introduce dependent clauses in formal and legal contexts,1,0.419592118,0.412901831,0.08040788199999999,3055
16,516,Long sequences of whitespace characters (spaces and tabs) used for formatting alignment in legal documents and code.,1,0.394481913,0.363470436,0.10551808699999998,516
17,4037,"Academic and technical nouns referring to methodologies, procedures, or organized systems used in research and scientific contexts.",1,0.391683836,0.365567619,0.10831616399999999,4037
18,85,"Contracted and uncontracted forms of the second person present tense of ""to be"" (are/'re) used in conditional and descriptive contexts.",1,0.372752966,0.372752966,0.12724703399999998,85
19,1540,"Forms of the verb ""use"" appearing in various contexts related to utilizing, employing, or making use of something.",1,0.360402111,0.291953531,0.13959788899999998,1540
20,5750,"Words related to awareness, understanding, or familiarity with information or facts.",1,0.336651099,0.336651099,0.163348901,5750
21,1985,Data formats and input/output operations in computing systems,1,0.33118417,0.323420747,0.16881583,1985
22,2698,Reflexive pronouns that refer back to the subject of their respective sentences.,1,0.324162183,0.294638013,0.175837817,2698
23,71,"Instances of the modal adjective ""able"" used in the construction ""be able to"" expressing capability or possibility.",1,0.316383668,0.316383668,0.183616332,71
24,4071,"Words indicating issues, faults, or difficulties in various contexts.",1,0.31628017,0.31628017,0.18371982999999997,4071
25,263,"Programming-related uses of ""get"" and ""Gets"" including both data retrieval methods and getter functions in object-oriented code",1,0.314255419,0.246755028,0.18574458100000002,263
26,5975,"Past participles used in passive voice constructions to describe how something is accomplished, performed, or characterized.",1,0.289284017,0.152419027,0.210715983,5975
27,6149,"Third-person singular masculine pronoun ""he"" appearing at the beginning of sentences or clauses after spaces.",1,0.28720828,0.28720828,0.21279172000000002,6149
28,3593,"Numbers appearing in various contexts including dates, ages, verse numbers, citations, and reference markers.",1,0.283344269,0.273019004,0.21665573100000002,3593
29,223,Words functioning as conjunctive adverbs or connective phrases that add information or emphasize inclusion alongside previously mentioned points.,1,0.281512669,0.213773449,0.218487331,223
30,5182,"All instances show the adjective ""good"" used in various contexts to describe quality, faith, or positive attributes.",1,0.268140391,0.232826456,0.23185960900000002,5182
31,5156,"Programming method and function calls, including constructors, getters, and API methods used in software development.",1,0.267543635,0.108462651,0.232456365,5156
32,3454,"Modal and auxiliary verbs expressing necessity, obligation, or requirement in various sentence constructions",1,0.246594222,0.246594222,0.25340577799999997,3454
33,5999,"Relative pronoun ""who"" used to introduce restrictive clauses that provide essential information about people.",1,0.237705291,0.237705291,0.26229470899999996,5999
34,589,"First-person plural pronouns (""we"" and ""us"") used as subjects and objects in sentences.",1,0.226917068,0.150715927,0.273082932,589
35,4617,"Infinitive verbs (base form verbs following ""to"") expressing various actions or processes.",1,0.205102008,0.205102008,0.294897992,4617
36,1100,"Words referring to programming functions, methods, and classes in software development contexts.",1,0.202080888,0.202080888,0.297919112,1100
37,1576,"The word ""such"" functioning as a discourse marker to introduce examples or illustrations in academic and technical writing.",1,0.198942378,0.179456727,0.30105762199999997,1576
38,6198,"Words referring to human beings, including both singular and plural forms of person/people and someone.",1,0.19892998,0.194165182,0.30107002,6198
39,4412,Days of the week and months preceded by spaces in date/timestamp formatting contexts.,1,0.196916742,0.196916742,0.303083258,4412
40,3209,"Verbs related to making choices, selections, or utilizing something.",1,0.174575198,0.163437245,0.325424802,3209
41,3835,"Single letter ""L"" or ""l"" appearing in various contexts including French definite articles, mathematical variables, and abbreviations",1,0.17438753,0.144433624,0.32561247,3835
42,3344,Programming conditional statements (if statements) preceded by whitespace indentation in various programming languages.,1,0.174034848,0.125699203,0.325965152,3344
43,522,"All instances are the verb ""have"" (or its conjugated form ""has"") used to express possession, characteristics, or existence in various contexts.",1,0.15471515,0.134657314,0.34528485,522
44,2754,"Legal terms referring to parties in litigation, including both civil and criminal proceedings",1,0.151350359,0.14631084,0.348649641,2754
45,5766,"All instances of the modal auxiliary verb ""would"" used to express hypothetical, conditional, or counterfactual situations.",1,0.150668766,0.138947004,0.349331234,5766
46,6016,"Conditional statements beginning with ""if"" or ""If"" that introduce hypothetical scenarios or conditions in various contexts including programming, scientific writing, and general text.",1,0.148644334,0.117459581,0.351355666,6016
47,6041,"All instances show the word ""compared"" used in comparative constructions to contrast two groups, conditions, or outcomes in scientific and technical contexts.",1,0.148404352,0.148404352,0.351595648,6041
48,61,"Prepositions indicating location or venue where events, activities, or situations take place.",1,0.143305503,0.0985944957,0.356694497,61
49,313,"French determiners, pronouns, prepositions, and conjunctions appearing before spaces in text",1,0.139055462,0.12438711,0.36094453800000004,313
50,4639,"The word ""one"" appears in common English phrases and expressions, primarily ""one another"" (indicating reciprocal relationships) and ""on the one hand"" (introducing contrasting perspectives).",1,0.134481605,0.134481605,0.365518395,4639
51,2452,"Adjectives describing limited quantity, size, or extent.",1,0.127959402,0.0976905976,0.372040598,2452
52,4744,"Quantifier nouns (""number,"" ""series,"" ""variety"") that follow the pattern ""a [quantifier] of"" to introduce multiple items or instances.",1,0.125977561,0.125977561,0.374022439,4744
53,4934,"The word ""different"" used as an adjective to modify various nouns across scientific, technical, and general contexts.",1,0.112022755,0.112022755,0.38797724499999997,4934
54,5928,"Instances of the word ""two"" used as a determiner to specify a pair of items being referenced.",1,0.101991124,0.0742408354,0.398008876,5928
55,3714,"Abbreviations and references to ""United States"" in formal, legal, and official contexts.",1,0.0944459072,0.0630239777,0.4055540928,3714
56,4479,Variables used as function parameters or arguments in mathematical expressions and programming code.,1,0.0944106013,0.0653276821,0.4055893987,4479
57,348,"Discourse markers or transition words that introduce contrasts, exceptions, or logical connections between ideas.",1,0.0915782313,0.0490510419,0.4084217687,348
