fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
37,0.3,15,0.897,-,"['mean', '-', 'players', '-', 'jacobs', 'weren', 'were', 'patients', '-', 'huh']",q1_lowest,3,0.30329388463934925,"noisy grab-bag, no consistent theme"
48,0.2,15,0.87,understand,"['understand', 'writer', 'end', 'language', '18', '26', '1', 'l', 'z', 'understand']",q1_lowest,7,0.35442874949665654,noisy grab-bag: business-achievement + medical-case reporting
105,0.1,14,0.848,.,"['.', 't', '={', 'accessed', 'retrieved', '-->', 'click', '=-', '26', '05']",q1_lowest,11,0.427383592789571,descending numeric sequences/citation brackets + noisy grab-bag
157,0.1,12,0.861,let,"['let', 'staten', 'requirement', 'carving', 'nature', 'well', 'blu', 'cloud', 'calls', 'there']",q1_lowest,8,0.318438021454619,noisy grab-bag: regulatory 'rather than' phrasing + archaic register
162,0.1,24,0.947,rather,"['rather', 'may', '.', 'suppose', '-', 'however', 'though']",q1_lowest,8,0.273279634030172,noisy grab-bag: regulatory 'rather than' phrasing + archaic register
175,0.1,19,0.937,corresponding,"['corresponding', 'travels', 'cybersecurity', 'wouldn', 'building', 'therefore', 'since', 'latter', 'plaintiffs', 'overall']",q1_lowest,10,0.29849185987357446,noisy grab-bag: software-QA vocabulary + poetic narrative
177,0.1,40,0.97,brood,"['brood', 'hit', 'association', 'o', 'into', 'size', 'thing', 'year', 'fray', 'pulled']",q1_lowest,4,0.3022894929675403,"noisy grab-bag, no consistent theme"
204,0.4,31,1.039,behind,"['30', 'behind', 'whatever', 'behind', '30', 'understand', 'got', 'behind', 'like', 'behind']",q1_lowest,9,0.40128703150729145,"noisy grab-bag, no consistent theme"
210,0.2,16,0.926,premises,"['premises', '549', 'soil', 'premises', 'many', 'few', 'base', 'country', 'rich', '562']",q1_lowest,5,0.2974259690557676,'to what extent'/'on the contrary' academic-hedge phrasing + 'premises' (telecom/legal)
211,0.2,12,0.955,away,"['ounces', '11', 'of', 'away', '21', 'havoc', 'away', '10', 'classes', 'java']",q1_lowest,6,0.38225422347435767,"noisy grab-bag, no consistent theme"
224,0.3,24,0.986,ãĺ,"['ãĺ', 'bottom', 'ãĺ', 'ãĺ', 'first', 'first', 'van', 'first', 'of', 'masters']",q1_lowest,9,0.3482238326543027,"noisy grab-bag, no consistent theme"
227,0.2,12,0.891,++),"['63', 'peninsula', 'delta', 'states', 'into', 'south', 'video', 'hemisphere', '++)', '++)']",q1_lowest,9,0.41065651941443015,"noisy grab-bag, no consistent theme"
234,0.2,16,0.976,whole,"['alpha', 'logos', 'apart', 'fore', 'whole', 'whole', 'other', 'outline', ',', '62']",q1_lowest,5,0.3275413385122991,'to what extent'/'on the contrary' academic-hedge phrasing + 'premises' (telecom/legal)
274,0.2,50,1.031,",","['been', ',', 'no', ',', 'just', 'school', 'err', '26', 'aws', 'yeah']",q1_lowest,3,0.345309478958454,"noisy grab-bag, no consistent theme"
277,0.1,14,0.906,radius,"['radius', 'symmetry', 'next', 'accompany', 'occupations', 'always', 'unsigned', 'latter', 'specifications', 'transfer']",q1_lowest,7,0.33849464597510687,noisy grab-bag: business-achievement + medical-case reporting
328,0.3,25,0.937,asked,"['doom', 'jacob', 'asked', 'asked', 'wouldn', 'bloom', '450', 'saw', 'asked', 'zeal']",q1_lowest,3,0.34764378550546204,"noisy grab-bag, no consistent theme"
331,0.2,10,0.934,us,"['us', 'users', 'us', 'once', 'updated', 'into', 'he', 'edu', 'indeed', 'one']",q1_lowest,7,0.3470849427559585,noisy grab-bag: business-achievement + medical-case reporting
389,0.1,45,0.963,email,"['email', 'former', 'degree', 'd', 'abstract', '1993', 'subject', 'any', 'in', 'few']",q1_lowest,4,0.32874420980507657,"noisy grab-bag, no consistent theme"
392,0.1,50,1.041,&&,"['&&', 'rom', 'too', 'who', 'possession', '||', '35', 'set', 'from', 'needs']",q1_lowest,7,0.32171180457251464,noisy grab-bag: business-achievement + medical-case reporting
393,0.2,50,1.048,whatever,"['restrain', 'whatever', 'whatever', 'factor', 'things', 'factor', 'salmon', 'promote', 'senator', 'anterior']",q1_lowest,9,0.34176738224357883,"noisy grab-bag, no consistent theme"
421,0.3,24,0.962,got,"['into', 'bought', 'will', '-', 'got', 'got', 'world', ')', 'got', 'news']",q1_lowest,3,0.3837466600910079,"noisy grab-bag, no consistent theme"
