split,pair_id,good_sentence,bad_sentence,good_doc_id,bad_doc_id,good_input_file,bad_input_file,good_output_file,bad_output_file,good_seq_logprob,bad_seq_logprob,good_num_tokens,bad_num_tokens
regular_plural_subject_verb_agreement_1,493,Many documentaries were stunning Maria.,Many documentaries was stunning Maria.,regular_plural_subject_verb_agreement_1_good_493,regular_plural_subject_verb_agreement_1_bad_493,longformer-515_519.parquet,longformer-515_519.parquet,pythia-160m-400_599.parquet,pythia-160m-400_599.parquet,-45.17461395263672,-48.215694427490234,6,6
wh_vs_that_no_gap_long_distance,640,Tiffany discovered that the man that hasn't questioned a lot of guys had upset Jessica.,Tiffany discovered who the man that hasn't questioned a lot of guys had upset Jessica.,wh_vs_that_no_gap_long_distance_good_640,wh_vs_that_no_gap_long_distance_bad_640,longformer-1275_1279.parquet,longformer-1270_1274.parquet,pythia-160m-1200_1399.parquet,pythia-160m-1200_1399.parquet,-96.75733947753906,-103.26277160644531,17,17
wh_vs_that_with_gap,650,Regina hasn't known what these children haven't looked like.,Regina hasn't known that these children haven't looked like.,wh_vs_that_with_gap_good_650,wh_vs_that_with_gap_bad_650,longformer-1055_1059.parquet,longformer-1065_1069.parquet,pythia-160m-1000_1199.parquet,pythia-160m-1000_1199.parquet,-55.44908905029297,-60.83778381347656,12,12
coordinate_structure_constraint_complex_left_branch,75,Whose libraries can Paula clean and Diane mess up?,Whose can Paula clean libraries and Diane mess up?,coordinate_structure_constraint_complex_left_branch_good_75,coordinate_structure_constraint_complex_left_branch_bad_75,longformer-865_869.parquet,longformer-865_869.parquet,pythia-160m-800_999.parquet,pythia-160m-800_999.parquet,-71.7759017944336,-75.63459014892578,10,10
existential_there_quantifiers_1,234,There were many computers dropping.,There were all computers dropping.,existential_there_quantifiers_1_good_234,existential_there_quantifiers_1_bad_234,longformer-400_404.parquet,longformer-385_389.parquet,pythia-160m-200_399.parquet,pythia-160m-200_399.parquet,-30.86642074584961,-33.32514953613281,6,6
sentential_negation_npi_licensor_present,515,All shoes had not ever flattened.,All shoes had really ever flattened.,sentential_negation_npi_licensor_present_good_515,sentential_negation_npi_licensor_present_bad_515,longformer-345_349.parquet,longformer-465_469.parquet,pythia-160m-200_399.parquet,pythia-160m-400_599.parquet,-42.238773345947266,-49.12405014038086,7,7
irregular_plural_subject_verb_agreement_1,312,Those oxen aren't boring Cheryl.,Those oxen wasn't boring Cheryl.,irregular_plural_subject_verb_agreement_1_good_312,irregular_plural_subject_verb_agreement_1_bad_312,longformer-290_294.parquet,longformer-280_284.parquet,pythia-160m-200_399.parquet,pythia-160m-200_399.parquet,-47.987857818603516,-50.08272171020508,7,7
wh_vs_that_no_gap_long_distance,642,That teenager realized that a child that has appeared bikes to this museum.,That teenager realized what a child that has appeared bikes to this museum.,wh_vs_that_no_gap_long_distance_good_642,wh_vs_that_no_gap_long_distance_bad_642,longformer-1200_1204.parquet,longformer-1215_1219.parquet,pythia-160m-1200_1399.parquet,pythia-160m-1200_1399.parquet,-82.9722671508789,-84.74589538574219,14,14
wh_vs_that_no_gap,632,Brad learned that those schools haven't talked about that waiter.,Brad learned who those schools haven't talked about that waiter.,wh_vs_that_no_gap_good_632,wh_vs_that_no_gap_bad_632,longformer-1115_1119.parquet,longformer-1105_1109.parquet,pythia-160m-1000_1199.parquet,pythia-160m-1000_1199.parquet,-66.68195343017578,-71.37173461914062,12,12
animate_subject_passive,34,Wayne wasn't hidden by some drivers.,Wayne wasn't hidden by some sheep.,animate_subject_passive_good_34,animate_subject_passive_bad_34,longformer-460_464.parquet,longformer-360_364.parquet,pythia-160m-400_599.parquet,pythia-160m-200_399.parquet,-49.69827651977539,-47.36492156982422,8,8
