fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
15,0.2,15,0.926,beyond,"['in', 'beyond', 'false', 'within', 'beyond', 'abolished', 'within', 'false', 'wherein', 'our']",q1_lowest,7,0.32951633956478193,"noisy grab-bag, no consistent theme"
45,0.2,25,0.95,higher,"['required', 'routes', '-', 'number', 'conducted', 'higher', '=', 'requiring', 'higher']",q1_lowest,9,0.29332505027743094,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
51,0.2,11,0.897,>,"['>', 'ting', '>', 'ready', 'needs', '23', 'chances', 'chances', 'few', 'times']",q1_lowest,5,0.43246308612964895,"noisy grab-bag, no consistent theme"
68,0.2,20,0.964,had,"['with', 'effective', 'had', 'adapted', 'joined', 'read', 'volunteer', 'personal', 'joined', 'had']",q1_lowest,1,0.370725111649358,mixed grab-bag: sports/entertainment narrative + citation lists
69,0.2,50,1.115,-,"['-', '-', '160', 'until', 'the', 'plus', 'here', 'accessed', 'the', ""'d""]",q1_lowest,5,0.3175614143581494,"noisy grab-bag, no consistent theme"
87,0.2,50,1.104,regiment,"['regiment', 'infantry', "".''"", 'odds', 'taking', 'interval', '-', 'whom', 'course', 'regiment']",q1_lowest,1,0.3390623305937649,mixed grab-bag: sports/entertainment narrative + citation lists
95,0.1,22,1.027,there,"['there', 'they', 'operation', 'republican', 'try', 'rewrite', 'role', 'requirement', 'organisation', 'adaptation']",q1_lowest,0,0.26558457651812767,"noisy grab-bag, no consistent theme"
102,0.1,12,0.901,appear,"['appear', 'the', 'advertisement', 'tpp', 'abide', 'our', 'overtaken', 'seem']",q1_lowest,10,0.2952491553746417,"noisy grab-bag, no consistent theme"
106,0.3,31,0.923,its,"['its', 'that', 'its', 'its', 'it', 'miss', 'help', 'sustainable', ""'"", '612']",q1_lowest,9,0.29304433686142983,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
144,0.2,50,1.034,given,"['given', 'person', '18', 'answered', '-', 'given', ',', '18', '}.', 'shown']",q1_lowest,1,0.3552965480861751,mixed grab-bag: sports/entertainment narrative + citation lists
162,0.2,21,1.005,carrying,"['carrying', 'only', 'which', 'which', 'brilliance', 'believing', 'tend', 'quality', 'figuring', 'carrying']",q1_lowest,12,0.29330490343632026,"news-report passive voice ('taken to hospital', 'struck by')"
182,0.2,11,1.042,the,"['maybe', 'her', 'she', 'the', 'the', ""');"", 'sometimes', '{', 'und', 'before']",q1_lowest,11,0.3477303266548952,demonstrative 'that' introducing a quoted/reported clause
234,0.2,50,1.12,informed,"['such', 'informed', 'informed', 'had', '19', 'must', 'to', 'had', 'whether', 'other']",q1_lowest,3,0.3280040220846277,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
242,0.4,17,1.107,counterparts,"['counterparts', 'residents', 'adversaries', 'resides', 'genetic', 'counterparts', 'counterparts', 'counterparts', 'residents', 'resides']",q1_lowest,8,0.4268909389654291,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
253,0.1,50,1.074,fall,"['fall', 'leaves', 'sort', 'rendered', 'remains', 'out', 'default', 'âģ¢', 'fades', 'namespace']",q1_lowest,9,0.2814239916855654,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
263,0.2,14,0.959,surrounding,"['rounded', 'surrounding', 'very', 'finale', 'place', 'level', 'surrounding', 'building', 'platform', 'falling']",q1_lowest,1,0.33342391104709,mixed grab-bag: sports/entertainment narrative + citation lists
275,0.2,17,1.113,who,"['who', 'taken', 'struck', 'taken', 'was', 'collected', 'sample', 'who', 'was', 'setup']",q1_lowest,12,0.29106241229393515,"news-report passive voice ('taken to hospital', 'struck by')"
278,0.2,11,0.938,hers,"['mix', 'hers', 'hers', 'kinds', 'former', '$$', 'trillions', 'bowed', 'basics', 'non']",q1_lowest,5,0.36295644280942135,"noisy grab-bag, no consistent theme"
279,0.2,20,0.933,right,"['until', 'told', 'armed', 'right', 'thought', 'weren', 'doubt', 'right', '],', 'so']",q1_lowest,5,0.4020858391376215,"noisy grab-bag, no consistent theme"
290,0.1,14,0.973,can,"['can', 'kinds', 'types', ')', ',', '.', 'short', 'this', 'attended', 'started']",q1_lowest,2,0.33479678546729863,"noisy grab-bag, no consistent theme"
292,0.2,15,0.906,were,"['were', 'billion', 's', 's', 'limited', '\\', 'real', 'were', 'joined', 'meeting']",q1_lowest,3,0.3144001397839199,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
300,0.2,15,0.932,feet,"['feet', 'square', 'thresholds', 'feet', 'sunk', 'sunrise', 'convicted', 'trial', 'eyes', 'your']",q1_lowest,12,0.28171936566469347,"news-report passive voice ('taken to hospital', 'struck by')"
312,0.2,13,0.886,victim,"['living', 'implements', 'victims', 'victim', 'insurance', 'victim', 'skin', 'going', 'extends', 'hopes']",q1_lowest,5,0.30323695323719196,"noisy grab-bag, no consistent theme"
318,0.2,25,0.995,so,"['less', 'discovering', 'gonna', 'apart', 'vou', '],', 'there', 'so', 'are', 'so']",q1_lowest,8,0.37633479015697563,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
320,0.3,40,1.095,and,"['-', 'failure', 'failure', 'and', 'and', 'and', '}', '-', 'use']",q1_lowest,3,0.3578537957601928,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
324,0.1,11,0.96,cause,"['cause', 'know', 'echo', 'sense', 'knew', 'neglecting', '30', 'away', 'tell', 'ready']",q1_lowest,13,0.40013816385471307,"noisy grab-bag, no consistent theme"
325,0.2,13,0.923,online,"['races', 'online', 'regions', 'coefficients', 'comparing', 'res', 'earlier', 'sources', 'online', 'classes']",q1_lowest,9,0.3345579987596752,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
329,0.3,47,1.042,billion,"['billion', 'billion', 'spending', 'and', 'seen', 'another', 'and', 'into', 'widely', 'billion']",q1_lowest,9,0.3083611482316738,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
341,0.2,26,1.11,exception,"['exception', 'annual', 'having', 'corners', 'exception', 'corners', 'parts', 'allowable', 'annually', 'initiative']",q1_lowest,3,0.40267742503398984,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
352,0.3,24,0.944,and,"['and', 'an', 'and', '8', 'uh', '*.', '?', ""';"", 'and', 'including']",q1_lowest,13,0.4004844335750253,"noisy grab-bag, no consistent theme"
355,0.1,11,0.968,54,"['54', 'place', 'aside', 'former', 'were', 'winner', 'res', 'a', 'latter', 'better']",q1_lowest,12,0.38042027537814377,"news-report passive voice ('taken to hospital', 'struck by')"
357,0.2,22,1.047,entire,"['aspects', 'first', 'entire', '`', 'initial', 'open', 'impact', 'entire', 'tap', 'avoid']",q1_lowest,8,0.3941641803514365,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
361,0.3,50,1.07,and,"['established', 'a', 'undertaking', 'it', 'and', 'cannot', 'latter', 'and', 'latter', 'and']",q1_lowest,3,0.4088826218640442,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
388,0.1,10,0.894,governors,"['governors', 'agency', '().', 'produced', 'and', 'years', 'publication', 'association', 'more', 'result']",q1_lowest,1,0.28905134758327083,mixed grab-bag: sports/entertainment narrative + citation lists
466,0.2,32,1.094,let,"['at', 'specify', 'that', 'let', 'let', 'text', 'region', 'determine', 'universal', 'de']",q1_lowest,3,0.3200792005243571,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
475,0.3,36,1.037,<,"['k', 'boil', '"",', 'armed', 'armed', '<', 'i', '<', 'i', '<']",q1_lowest,0,0.332339291593404,"noisy grab-bag, no consistent theme"
478,0.4,12,1.076,that,"['that', 'for', 'think', 'that', 're', 'those', 'for', 'are', 'that', 'that']",q1_lowest,11,0.38399068943388215,demonstrative 'that' introducing a quoted/reported clause
522,0.2,34,1.034,version,"['&&', 'vulnerability', 'version', 'version', '70', 'released', '$', 'done', '"",', 'suites']",q1_lowest,7,0.3168505860869204,"noisy grab-bag, no consistent theme"
528,0.2,27,1.011,relative,"['relieve', 'relative', 'whatever', 'whatever', '_', 'total', 'toward', 'this', 'relative', 'as']",q1_lowest,7,0.316465761525587,"noisy grab-bag, no consistent theme"
566,0.2,23,1.113,sense,"['against', 'respects', 'sense', 'standings', 'communities', 'respect', 'sense', 'respect', 'held', 'saturday']",q1_lowest,4,0.37588531118876994,'in this respect/sense' hedge-phrase family + generic prepositions
569,0.4,24,1.077,season,"['season', 'p', 'the', 'p', 'season', 'round', 'season', 'season', 'the', 'whole']",q1_lowest,6,0.3586452088923011,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
582,0.2,50,1.089,others,"['others', ""'s"", 'components', 'else', 'capabilities', 'million', 'championships', 'others', 'capabilities', '-']",q1_lowest,4,0.31660526059581773,'in this respect/sense' hedge-phrase family + generic prepositions
602,0.4,13,1.089,taken,"['taken', 'taken', 'taken', 'taken', 'after', 'undertaken', 'effective', 'towards', 'go', ""'""]",q1_lowest,9,0.31080754921205506,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
617,0.1,17,0.955,been,"['been', '8', ';', '82', 'section', 'left', 'the', '&', 'could', 'applied']",q1_lowest,6,0.39584897161985483,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
646,0.1,17,1.018,tackle,"['tackle', 'founder', 'eff', 'would', 'did', 'valued', 'all', 'instead', 'danger', 'esteem']",q1_lowest,7,0.3216689033933689,"noisy grab-bag, no consistent theme"
662,0.1,50,1.067,amber,"['amber', 'exercise', 'aug', 'he', 'idea', 'so', 'laboratories', 'it', '/']",q1_lowest,6,0.32641422951023735,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
678,0.2,11,0.932,vista,"['ignited', 'vista', 'resistance', 'vista', 'manufacturers', 'now', 'founder', 'namespace', 'resistance', 'traditional']",q1_lowest,1,0.29490919987829217,mixed grab-bag: sports/entertainment narrative + citation lists
679,0.2,42,1.086,three,"['in', 'coincide', 'three', 'three', 'kennedy', 'collide', 'reason', '53', 'mentioned', 'outlines']",q1_lowest,12,0.29352057438034046,"news-report passive voice ('taken to hospital', 'struck by')"
703,0.2,36,1.087,consists,"['consists', 'inches', 'feet', '0', 'inches', 'consists', '?', 'into', 'asks', '?']",q1_lowest,13,0.4130163438822359,"noisy grab-bag, no consistent theme"
