160m_feature_id,160m_description,160m_trend,160m_acquired,160m_acq_checkpoint,160m_max_prob,6.9b_feature_id,6.9b_description,6.9b_trend,6.9b_acquired,6.9b_acq_checkpoint,6.9b_max_prob,sample_overlap,n_shared_samples,category,trend_match,acq_diff
3282,"XML/HTML attribute values specifying reference types in academic document markup, specifically for figures, tables, and supplementary media.",increase-stagnate,True,7,0.999938967,668,"HTML/XML attribute values for reference type specifications in academic document markup, specifically indicating figure and reference citations.",increase-stagnate,True,6,1.0,0.6666666666666666,40,Both Acquired,True,-1.0
3463,"All instances are the string ""fig"" appearing as the value in HTML/XML reference attributes for figure citations in academic text.",increase-stagnate,True,7,0.999938967,6364,"HTML/XML attribute values specifying reference types in academic document markup, specifically for figures and references.",increase-stagnate,True,6,0.999938967,0.6129032258064516,38,Both Acquired,True,-1.0
5969,"Markdown or XML-style syntax elements used for academic document formatting and cross-referencing figures, tables, and citations.",increase-stagnate,True,8,0.999938967,5969,Academic reference syntax elements using curly braces to define reference types in scientific publications.,increase-stagnate,True,9,0.999938967,0.6666666666666666,40,Both Acquired,True,1.0
3980,"All instances show the word ""without"" in the context of probability problems involving picking letters without replacement from given sets.",increase-stagnate,True,8,0.999587706,4316,"The word ""without"" appears consistently in probability problems describing sampling without replacement from a set of letters.",increase-stagnate,True,8,0.999640415,0.7241379310344828,42,Both Acquired,True,0.0
2833,"The symbol ""Âł"" appears to be a formatting character or separator used consistently in what appears to be author name lists or bibliographic citations.",increase-stagnate,True,9,0.997622256,2833,"The symbol ""Âł"" appears to be a consistent formatting marker or encoding artifact used in what appears to be a list of author names or citations.",increase-stagnate,True,8,0.996673661,0.7857142857142857,44,Both Acquired,True,-1.0
1657,Newline characters (\n) used for line breaks in code or text formatting.,increase-stagnate,True,9,0.999645299,1657,Newline characters or line break markers in code/text formatting contexts.,increase-stagnate,True,8,0.999938967,0.6949152542372882,41,Both Acquired,True,-1.0
2833,"The symbol ""Âł"" appears to be a formatting character or separator used consistently in what appears to be author name lists or bibliographic citations.",increase-stagnate,True,9,0.997622256,2124,"Encoding artifact ""Âł"" appearing as corrupted character sequence in author name listings, likely representing a space or formatting separator that was incorrectly encoded during text processing.",increase-stagnate,True,8,0.997051023,0.7857142857142857,44,Both Acquired,True,-1.0
5956,Question marks appearing at the end of mathematical comparison questions or nearest value problems.,increase-stagnate,True,9,0.99964941,5956,Question marks appearing at the end of mathematical comparison questions in what appears to be a structured quiz or problem set format.,increase-stagnate,True,10,0.999878719,0.6666666666666666,40,Both Acquired,True,1.0
6365,"Prepositions (""of"" and ""with"") used in medical contexts to introduce diagnostic terms, conditions, or medical relationships.",increase-stagnate,True,10,0.929218329,6365,"Prepositions ""of"" and ""with"" used in medical contexts to introduce diagnostic information, causes, or associated conditions.",increase-stagnate,True,10,0.935678312,0.8518518518518519,46,Both Acquired,True,0.0
1527,"Instances of the word ""or"" used as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",increase-stagnate,True,10,0.999153101,6029,"The word ""or"" used as a conjunction in mathematical comparison questions asking which value is greater or smaller, with one exception that uses ""or"" in a different context.",increase-stagnate,True,10,0.999329302,0.7241379310344828,42,Both Acquired,True,0.0
1988,Mathematical expressions containing variable names (single letters) that appear to be part of function composition or algebraic operations in what looks like automated math problem generation.,increase-stagnate,True,10,0.999321032,1988,Mathematical function composition problems asking to calculate or determine the result of nested function applications.,increase-stagnate,True,10,0.999849759,0.6666666666666666,40,Both Acquired,True,0.0
1527,"Instances of the word ""or"" used as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",increase-stagnate,True,10,0.999153101,1527,"All instances are the word ""or"" used as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",increase-stagnate,True,10,0.999329302,0.9230769230769231,48,Both Acquired,True,0.0
4287,"Whitespace tokens that appear at the end of code blocks, typically before closing braces or the start of new methods/functions in programming contexts.",increase-stagnate,True,10,0.954283123,4831,Code formatting tokens representing spaces that appear after closing curly braces in programming contexts.,increase-stagnate,True,10,0.99275787,0.639344262295082,39,Both Acquired,True,0.0
1449,Semicolons appearing at the end of programming statements or code lines across various programming languages.,increase-stagnate,True,10,0.981757495,1449,"Semicolons used as statement terminators in programming code across various languages including JavaScript, C++, C#, and PHP.",increase-stagnate,True,10,0.989576586,0.7241379310344828,42,Both Acquired,True,0.0
6008,"All instances represent the protocol identifier ""http"" at the beginning of web URLs in various contexts.",increase-stagnate,True,11,0.866665111,47,URL protocol prefixes (http and https) appearing at the beginning of web addresses in various online content.,increase-stagnate,True,10,0.938310021,0.6666666666666666,40,Both Acquired,True,-1.0
3612,"All instances show ""well"" functioning as part of the conjunction ""as well as"" used to connect additional or similar elements in a sentence.",increasing,True,11,0.690540554,4687,"All instances show the phrase ""as well"" used as a coordinating conjunction to connect similar or additional elements in a sentence.",increasing,True,11,0.838469131,0.6129032258064516,38,Both Acquired,True,0.0
1687,Words used in mathematical comparison questions asking which value is closest or nearest to a target number.,increasing,True,11,0.690824696,1192,Words used in mathematical comparison questions asking which value is closest or nearest to a given number.,increase-stagnate,True,10,0.557877121,0.7241379310344828,42,Both Acquired,False,-1.0
749,Dialogue punctuation patterns where asterisked periods appear at the end of quoted speech followed by closing quotation marks.,increase-stagnate,True,11,0.603540531,1440,"Quotation marks followed immediately by periods, indicating the end of quoted dialogue in text.",increase-stagnate,True,9,0.639753102,0.6666666666666666,40,Both Acquired,True,-2.0
3952,"All instances show the preposition ""with"" preceded by a space, indicating consistent formatting of this common preposition in various contexts.",increasing,True,11,0.770372743,22,"All instances show the preposition ""with"" preceded by a space, indicating a consistent grammatical pattern of the word ""with"" following other words or phrases.",increasing,True,11,0.888951013,0.8867924528301887,47,Both Acquired,True,0.0
2473,Code comment delimiters marking the start of single-line comments in programming languages.,increasing,True,11,0.693991008,1217,Code comments in various programming languages that begin with double slashes followed by a space.,increasing,True,11,0.843999506,0.7857142857142857,44,Both Acquired,True,0.0
388,"All instances are the word ""any"" (or ""ANY"") used as a determiner or quantifier in negative or restrictive contexts.",increasing,True,14,0.519731016,3103,"Instances of the word ""any"" (and its capitalized variant ""ANY"") used as a determiner or pronoun in negative or conditional contexts to indicate absence or lack of something.",increasing,True,11,0.614855949,0.7241379310344828,42,Both Acquired,True,-3.0
