feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,5510,"Hash symbols (#) appearing at the beginning of C/C++ preprocessor directives like #include, #define, and #pragma.",1,8,0.839289943,increasing,5510
2,436,"Hexadecimal byte values (all ""00"") appearing in what appears to be memory dumps or binary data representations.",1,9,0.999300328,increasing,436
3,2315,"Programming terms for software components and file extensions, including event handlers, device drivers, and C/C++ header files.",1,10,0.979603502,increasing,2315
4,86,"All instances show ""English"" appearing in what appears to be a language identification or labeling context within structured data or tables.",1,11,0.544006311,increasing,86
5,4866,"Legal citation abbreviation ""v."" (versus) used to separate parties in court cases.",1,11,0.956606136,increasing,4866
6,2373,"Adverbs, quantifiers, and intensifiers that modify or emphasize the degree, quantity, or manner of adjectives, verbs, or other elements",1,11,0.963620634,increasing,2373
7,2036,Two-digit numbers appearing in sequential numerical contexts or data structures.,1,11,0.98562062,increasing,2036
8,4687,"All instances show the phrase ""as well"" used as a coordinating conjunction to connect similar or additional elements in a sentence.",1,11,0.838469131,increasing,4687
9,2661,"The word ""same"" used as a pronoun or noun referring back to a previously mentioned item or concept.",1,11,0.99368934,increasing,2661
10,4617,"All instances are the noun ""case"" used to refer to specific situations, scenarios, or conditions in academic, technical, or explanatory contexts.",1,11,0.63699747,increasing,4617
11,2963,Periods marking the end of sentences in quoted speech or reported statements.,1,11,0.73058496,increasing,2963
12,2458,"These are all surnames or last names of people, primarily athletes, politicians, and other public figures.",1,11,0.995958285,increasing,2458
13,1758,"Directory name ""effects"" appearing in file paths for shader files (.sdr) in a graphics/game engine project.",1,11,0.998608977,increasing,1758
14,5849,"Time designation ""AM"" appearing in time calculation and conversion problems.",1,11,0.981339845,increasing,5849
15,4684,Words related to email newsletter subscription processes and website interface elements.,1,11,0.999589016,increasing,4684
16,2873,"Words related to newsletter signup, subscription, and privacy policy interfaces on websites",1,11,0.999341685,increasing,2873
17,3982,"Numbers or numerical references appearing in legal citations, footnotes, or document formatting contexts.",1,11,0.992847237,increasing,3982
18,26,Whitespace characters in structured text markup,1,11,0.977833942,increasing,26
19,3830,"Numerical references and identifiers used in technical and scientific contexts, including patent numbers, page numbers, dates, and placeholder values.",1,11,0.995521522,increasing,3830
20,5968,Version identifiers in Go module dependencies and package management contexts,1,11,0.996284631,increasing,5968
21,4227,Citation reference numbers appearing in academic text citations.,1,11,0.902307529,increasing,4227
22,3852,Legal term referring to court proceedings where cases are heard and decided.,1,11,0.983376295,increasing,3852
23,200,"Percentage symbols appearing in numerical contexts expressing proportions, ratios, or statistical measurements.",1,11,0.875050455,increasing,200
24,1157,"The number ""3"" appearing in various contexts including citations, chemical nomenclature, numbered lists, and reference markers.",1,11,0.901556126,increasing,1157
25,3786,"Adverbs used in formal or technical writing to provide specification, temporal updates, or degree of comparison in transitional phrases following ""more"" or ""most""",1,11,0.865163668,increasing,3786
26,5482,"Words that introduce clauses, statements, or serve as pronouns and basic sentence starters",1,11,0.997472017,increasing,5482
27,48,"The number ""7"" appearing in various academic and legal citation formats, including footnotes, reference citations, and numbered lists.",1,11,0.934176117,increasing,48
28,613,"All instances show the preposition ""after"" indicating temporal sequence or consequence following an event or action.",1,11,0.718462847,increasing,613
29,5436,"Spaces that precede opening square brackets in academic references, citations, and figure/table links.",1,11,0.89733601,increasing,5436
30,2049,"Abbreviations and codes from diverse fields including scientific, technical, programming, and general contexts",1,11,0.989280559,increasing,2049
31,5217,"All instances are the number ""10"" appearing in various textual contexts including references, footnotes, measurements, and formatting.",1,11,0.887294403,increasing,5217
32,4382,"Programming and software development terms including class names, data types, and technical concepts from various programming languages and frameworks.",1,11,0.693985291,increasing,4382
33,6008,"Nouns referring to degrees, stages, or positions within hierarchies, measurements, or scales.",1,11,0.811571501,increasing,6008
34,4429,Present participles functioning as objects of prepositions or as part of continuous verb constructions,1,11,0.772899586,increasing,4429
35,2354,"Legal citation abbreviation ""v."" (versus) used in case names to separate plaintiff and defendant parties.",1,11,0.961836999,increasing,2354
36,1037,"All instances are the word ""up"" used as an adverb or particle in phrasal verbs and idiomatic expressions.",1,11,0.915519731,increasing,1037
37,2115,"All instances refer to the noun ""world"" used in global or international contexts, often preceded by ""the"" and modified by descriptive phrases about leading, affecting, or encompassing the entire world.",1,11,0.801386449,increasing,2115
38,3609,"Prepositions indicating relationships, connections, or spatial/conceptual positioning between entities.",1,11,0.648017902,increasing,3609
39,4076,"All instances of the word ""same"" used as an adjective to indicate identity, equality, or lack of difference between things being compared.",1,11,0.886945788,increasing,4076
40,5763,"All instances are the preposition ""from"" indicating source, origin, or starting point in various contexts.",1,11,0.882097837,increasing,5763
41,1425,First-person pronouns appearing as sentence subjects in narrative and conversational contexts.,1,11,0.645742155,increasing,1425
42,5719,"The word ""as"" appearing in various grammatical contexts including comparisons, classifications, designations, and SQL alias declarations.",1,11,0.769369444,increasing,5719
43,6162,"Definite articles (""the"") and indefinite articles (""a"") functioning as grammatical determiners in recipe instructions",1,11,0.834374713,increasing,6162
44,2326,"XML/HTML closing tags that end various elements like modules, profiles, selects, divs, and other markup structures.",1,11,0.997514614,increasing,2326
45,391,"All instances represent the number ""18"" appearing in various contexts including chapter numbers, reference citations, isotope labels, and numbered lists.",1,11,0.987810791,increasing,391
