feature_id,description,trend,acquisition_checkpoint,acquisition_checkpoint_name,final_probability,max_probability,good_count,bad_count,subset_counts
412,Whitespace sequences used for formatting alignment in legal document headers.,other,0,pythia-160m-step1,1.0,1.0,0,0,{'': 31}
2973,Tab characters used for text formatting and indentation in various document types.,increase-decrease,5,pythia-160m-step32,0.232852069,0.771120212,0,0,{'': 15}
2295,Tab characters used for formatting and indentation in various types of documents and web content.,increase-decrease,6,pythia-160m-step64,0.232852069,0.771120212,0,0,{'': 50}
1847,"Tab characters and whitespace formatting used for code indentation, data alignment, and structured text layout",increase-decrease,6,pythia-160m-step64,0.144720966,0.69098895,0,0,{'': 32}
172,Tab characters used for code indentation and formatting in programming contexts.,increase-stagnate,6,pythia-160m-step64,0.952534751,0.971999222,0,0,{'': 50}
1761,Tab characters used for code indentation in programming contexts.,increase-stagnate,6,pythia-160m-step64,0.968902533,0.979683988,0,0,{'': 50}
1620,Dialogue formatting markers indicating the start of speech or quotations in conversational text.,increase-stagnate,6,pythia-160m-step64,0.972798665,0.982922516,0,0,{'': 50}
1279,"Infinitive marker ""to"" and preposition ""of"" and ""with"" in various grammatical contexts",increase-decrease,7,pythia-160m-step128,0.148493008,0.676197477,0,0,{'': 50}
1091,HTML line break tags appearing in code documentation or web content.,increase-decrease,7,pythia-160m-step128,0.395804403,0.802584465,0,0,{'': 50}
254,Tab characters serving as delimiters or separators between mathematical questions about prime and composite numbers.,increase-stagnate,7,pythia-160m-step128,0.99931585,0.999938967,0,0,{'': 50}
703,Decimal points in statistical p-values from scientific research papers.,increase-stagnate,7,pythia-160m-step128,0.998433723,0.998709579,0,0,{'': 50}
2259,HTML/XML opening angle brackets appearing in code documentation or web markup contexts.,increase-stagnate,7,pythia-160m-step128,0.784783683,0.875246354,0,0,{'': 50}
923,Periods appearing within academic citation references in scholarly text.,increase-stagnate,7,pythia-160m-step128,0.999917931,0.999938967,0,0,{'': 50}
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,7,pythia-160m-step128,0.999932592,0.999938967,0,0,{'': 50}
1212,"Colons that appear after ""Category"" in what appears to be Wikipedia category markup syntax.",increase-stagnate,7,pythia-160m-step128,0.999938014,0.999938967,0,0,{'': 50}
2764,"Periods appearing within legal citations, specifically in United States Code references where they separate parts of the citation format.",increase-stagnate,7,pythia-160m-step128,0.998584846,0.999891531,0,0,{'': 50}
2536,"Contracted forms of ""not"" in negative auxiliary verb constructions (didn't, don't, wouldn't, isn't, aren't, couldn't, shouldn't, wasn't).",increase-stagnate,7,pythia-160m-step128,0.998291618,0.99927115,0,0,{'': 50}
2316,HTML attribute values appearing in class attributes and reference type attributes within web page markup.,increase-stagnate,7,pythia-160m-step128,0.999900768,0.999938967,0,0,{'': 50}
2702,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by arithmetic expressions.",increase-stagnate,7,pythia-160m-step128,0.997062301,0.999769443,0,0,{'': 50}
2103,"Mathematical question words asking ""What is"" or ""Which is"" in problem-solving contexts.",increase-stagnate,7,pythia-160m-step128,0.999059371,0.999700993,0,0,{'': 50}
1450,URL protocol indicators appearing in web addresses and hyperlinks.,increase-stagnate,7,pythia-160m-step128,0.999938967,0.999938967,0,0,{'': 50}
2094,"The preposition ""of"" appearing after quantifier phrases (variety of, number of, lots of, etc.) to introduce what is being quantified.",increase-stagnate,7,pythia-160m-step128,0.976172373,0.986758873,0,0,{'': 50}
664,"Prepositions ""to"" appearing after a space in formal or technical writing contexts.",increase-stagnate,7,pythia-160m-step128,0.992226801,0.995343543,0,0,{'': 50}
764,"Infinitive marker ""to"" appearing after a space in various sentence contexts",increase-stagnate,7,pythia-160m-step128,0.977092727,0.979202332,0,0,{'': 50}
451,Function words (prepositions and articles) that are preceded by a space in text formatting.,increase-stagnate,7,pythia-160m-step128,0.993304973,0.995220429,0,0,{'': 50}
