160m_feature_id,160m_description,160m_trend,160m_acquired,160m_acq_checkpoint,160m_max_prob,6.9b_feature_id,6.9b_description,6.9b_trend,6.9b_acquired,6.9b_acq_checkpoint,6.9b_max_prob,sample_overlap,n_shared_samples,category,trend_match,acq_diff
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,True,7,0.999938967,846,HTML attribute values for reference links in academic figure citations.,increase-stagnate,True,6,1.0,0.639344262295082,39,Both Acquired,True,-1.0
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,True,7,0.999938967,1077,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",increase-stagnate,True,6,1.0,0.7543859649122807,43,Both Acquired,True,-1.0
1212,"Colons that appear after ""Category"" in what appears to be Wikipedia category markup syntax.",increase-stagnate,True,7,0.999938967,1206,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",increase-stagnate,True,6,0.999938967,0.7857142857142857,44,Both Acquired,True,-1.0
2288,"Mathematical problem statements that begin with variable definitions using ""Let"" followed by mathematical expressions or equations.",increase-stagnate,True,9,0.934452472,445,"Mathematical problem statements that begin with ""Let"" followed by variable definitions or function declarations.",increase-stagnate,True,8,0.940073176,0.8181818181818182,45,Both Acquired,True,-1.0
2853,"The letter ""B"" or ""b"" used as labels, identifiers, or reference markers in academic and technical contexts.",increase-stagnate,True,9,0.999938967,535,Single letters (B/b) used as reference markers or labels in academic and scientific texts.,increase-stagnate,True,8,0.999938967,0.6666666666666666,40,Both Acquired,True,-1.0
293,C preprocessor directive symbols (#define and #include statements) used in source code.,increase-stagnate,True,9,0.896981972,88,C preprocessor #define statements in header files defining hardware register constants and macros.,increase-stagnate,True,8,0.968713676,0.639344262295082,39,Both Acquired,True,-1.0
2400,Question marks appearing at the end of mathematical comparison questions or problems.,increase-stagnate,True,9,0.999690271,361,Question marks appearing at the end of mathematical comparison questions in what appears to be a math problem dataset.,increase-stagnate,True,10,0.999852799,0.639344262295082,39,Both Acquired,True,1.0
796,"The word ""or"" functioning as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",increase-stagnate,True,10,0.998955629,2766,Mathematical comparison questions asking which value is greater or smaller between two options.,increase-stagnate,True,10,0.999322695,0.8518518518518519,46,Both Acquired,True,0.0
2972,XML/HTML closing tags appearing in structured markup code.,increase-stagnate,True,10,0.986349431,2497,"XML/HTML closing tag syntax patterns, specifically the ""</"" token that begins closing tags in markup languages.",increasing,True,11,0.998115702,0.639344262295082,39,Both Acquired,False,1.0
1113,"All instances of ""than"" used as a comparative conjunction to introduce the second element in comparisons.",increase-stagnate,True,10,0.986854662,1909,"All instances of the word ""than"" used as a comparative conjunction to express relationships of degree, quantity, or preference between two elements.",increase-stagnate,True,10,0.998513353,0.7543859649122807,43,Both Acquired,True,0.0
